epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test_mae_epoch,test_mse_epoch,train_loss,valid_mae_epoch,valid_mse_epoch
0,,,12,,,,1.23622727394104,2.173206090927124
1,,,25,,,,0.7526081800460815,0.9026412963867188
2,,,38,,,,0.5884919762611389,0.5442014336585999
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
,2.0416666666666667e-05,2.0416666666666667e-05,49,,,,,
3,,,49,,,0.31149575114250183,,
3,,,51,,,,0.5350964665412903,0.4421607553958893
4,,,64,,,,0.5341211557388306,0.4267790615558624
5,,,77,,,,0.49573642015457153,0.36435848474502563
6,,,90,,,,0.5017911195755005,0.35737144947052
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
,4.125e-05,4.125e-05,99,,,,,
